,en,ja
story.Prologue_Ending_K7_3.item_scissors_on_boxes.text.a602b1cca340c1a3679faf0b6807856055966ac7,It could be dangerous to topple these boxes over.,この箱の山を倒すのは危険だ。
story.Prologue_Ending_K7_3.misc_boxes.text.e2287247ae230c1d7a094f2e87c8c8363f3bfb01,A large pile of boxes that goes all the way to the ceiling.,箱が天井まで積み上がっている。
story.Prologue_Ending_K7_3.misc_ending.text.aa3327e13a26c1756909327cd2861e780ce4f825,This room feels different...,この部屋は雰囲気が違うわね……
story.Prologue_Ending_K7_3.misc_ending.text.692c8d99781b78fab38e0b4d51790812d1a5067e,Is it safe...?,安全なの……？
story.Prologue_Ending_K7_3.misc_ending.text.85f4ddd3b3d3c935d2cae46d77aeef11dac15b93,"Ah, there you are.",ああ、来たか。
story.Prologue_Ending_K7_3.misc_ending.text.831be1ceb15af1bda090e0f497ddb36de247c848,Who are you...? What is this place?,あなたは……？　ここは一体何なの？
story.Prologue_Ending_K7_3.misc_ending.text.f5d87174cba18bc7975ce1d71c9f0ba86182bcf4,Straight to the point I see.,単刀直入だね。
story.Prologue_Ending_K7_3.misc_ending.text.bcbcc8d9aa980991960105043be94d68cb30e607,"Well, this isn't quite your world.",ここは、あなた達の世界では必ずしもない。
story.Prologue_Ending_K7_3.misc_ending.text.52e282098784499e43fc5b2da53eb9e9e509b313,...What?,……どういうこと？
story.Prologue_Ending_K7_3.misc_ending.text.3176465438f6d8d39b96a8776867f600ab1f1532,"Let's not get into it. You're doing a ritual, correct?",深入りはやめよう。あなた達は儀式をしてる、そうだよね？
story.Prologue_Ending_K7_3.misc_ending.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,……
story.Prologue_Ending_K7_3.misc_ending.text.f57fbd95c5ebc5a3995c440e97e230c7d690c301,"Stop, and go home.",儀式をやめて、家に帰りなさい。
story.Prologue_Ending_K7_3.misc_ending.text.ece4eb1a5ced86da1150e20101e5bd1068f6c4ec,All of you. I mean it.,全員。冗談じゃなく。
story.Prologue_Ending_K7_3.misc_ending.text.c35a7144b4f97af8591d264ce48f6a7a9f60ea17,Excuse me...?,何言ってるの……？
story.Prologue_Ending_K7_3.misc_ending.text.43998eb0757e3769f756e957c93150779fe477b5,"Kat, if you keep doing what you're doing, things won't end well.",キャット、このまま続けたら、良くない結末になる。
story.Prologue_Ending_K7_3.misc_ending.text.61d70e924fe83fe049ccb68f73e2a2dadac246fe,"Do you know this person, Kat?",ねぇキャット、あなたの知り合い？
story.Prologue_Ending_K7_3.misc_ending.text.b2ff0612ad27bc8a1a8b57cfec905752c9f9048a,Not at all.,いえ、全く知らないわ。
story.Prologue_Ending_K7_3.misc_ending.text.15803390f5b109234e9d5b5cddc5bf1d3ebe9df1,"They seem to know you, though.",でも、向こうはあなたを知ってるみたいよ。
story.Prologue_Ending_K7_3.misc_ending.text.cb47725c034d9671acdb88376ba39a10b70240d2,What is it with everyone warning me lately?,どうして最近どいつもこいつも私に警告してくるわけ？
story.Prologue_Ending_K7_3.misc_ending.text.b8d42716aca4de249568d45f6b086cc0985e5f89,I need some answers.,答えなさい。
story.Prologue_Ending_K7_3.misc_ending.text.339c92daf8c9798fd888e189233a2b8d5ad501fd,"So far, you haven't-",ここまで、あなたはまだ――
story.Prologue_Ending_K7_3.misc_ending.text.8256861f38b20b7bf550858ea82a503eb84237a1,Stop! Don't cross that line.,ストップ！　その線を超えないで。
