Hash,en,vi,char
story.Global.prologue_boxpuzzle_explanation.text.5127ee45f5d64a6fbfe3f27c37d8beea71cf8b3f,"Alright, let's see…","Rồi, coi nào…",Kat
story.Global.prologue_boxpuzzle_explanation.text.0e38c332e3a68470735df29d9b4ef5dd21c1a5c2,According to my notes…,Dựa theo ghi chú thì…,Kat
story.Global.prologue_boxpuzzle_explanation.text.7a6a98d9c89edd44dda70c219ee11bdc71cb190d,I need to move the desks to the sides in all three classrooms.,Đầu tiên phải kéo tất cả bàn học dạt sang hai bên trong cả ba lớp học.,Kat
story.Global.prologue_boxpuzzle_explanation.text.1f4aee5ce6fd5c23c3d0ba0466edc66749f2521a,"Then I can draw a ""path"" in the middle of each one with chalk.","Sau đó vẽ một ""con đường"" bằng phấn ở chính giữa mỗi phòng.",Kat
story.Global.prologue_boxpuzzle_explanation.text.6a36f5c97736b9ab9013672b97d67d453de9145c,"Well, I'll leave the chalk drawing for last. I want to gather everything I need first.",Vẽ đường thì để cuối hẵng làm đi. Mình muốn đi kiếm các món đồ cần thiết về đây trước.,Kat
,,,
story.Global.prologue_check_plants_cut.text.6329e8a7c52b3f3d8e22117c3eb6d3ca2ae1ff42,Oh no…,Trời ơi…,Kaya
story.Global.prologue_check_plants_cut.text.c994deb18593c8d8a50b63c6872c2e7774cf2711,What are you doing…? Is this part of the ritual?,Mày làm cái gì thế…? Này cũng trong nghi thức à?,Juli
,,,
story.Global.prologue_check_plants_cut.text.be9de4cb21c061133a2d908557b21c5a8b41cfa6,Um… what's wrong with you?,Ê… mày bị sao vậy mày?,Saki
story.Global.prologue_check_plants_cut.text.14823da364c5b4ffe05585bf06e9182d494771ac,"If this ritual involves the mass genocide of harmless plants, then I want nothing to do with it.",Nếu nghi thức hay gì đấy mà phải thảm sát cây cối vô hại thế này thì tao không có muốn dính dáng gì hết nhá.,Saki
story.Global.prologue_check_plants_cut.text.f965096ab02c7c90ddc4f72df5ebd77885ea3387,Agreed.,Đồng tình.,Juli
,,,
story.Global.prologue_check_plants_cut.text.8799a772c4fb396e35f00a4b0f74e8928980c961,Are you seriously going to go around killing all the plants?,Thiệt tình mày tính lòng vòng giết cho hết cây cối vậy luôn hả?,Saki
story.Global.prologue_check_plants_cut.text.d2b100e7d08f55aeecc15e13110b72d7aabbc9d5,I knew you were a psychopath…,Quả nhiên mày bị tâm thần rồi…,Saki
story.Global.prologue_check_plants_cut.text.ef3aada0e2404993532733408a29bc6d65522cab,"Sorry Kat, but we didn't sign up for this.","Xin lỗi nha Kat, bọn tao không có tham dự để làm cái chuyện này đâu.",Juli
story.Global.prologue_check_plants_cut.text.80f3007acea925bd534b9a7cb9354a891d6b8eab,I don't like this ritual anymore…,Tao không có muốn coi nghi thức nữa…,Kaya
story.Global.prologue_check_plants_cut.text.be9e520a9337bc2952919f7d9d0ece6283f51964,"Don't worry Kaya, we're going home now.","Không sao Kaya, giờ mình đi về luôn.",Juli
story.Global.prologue_check_plants_cut.text.35f1a0ab71339bc315e57b1aeddeeea76e10bade,Don't talk to us again.,Đừng có mà bắt chuyện bọn tao nữa.,Saki
,,,
story.Global.prologue_classroom_misc_cubicles.text.24a04612760725bc6b9a45f8a60a34fa9e573db8,Shelves for the students to place their school bags.,Kệ tủ cho học sinh để cặp táp.,
story.Global.prologue_classroom_misc_cubicles.text.7141dd76d5f74b98e7baa6a346b65f5424b3c338,There are no bags right now though.,Mà giờ không có cái cặp nào cả.,
,,,
story.Global.prologue_cutscene_ritual_1.text.a64bab41229e760e6a3777df0df4d89b8fa7373f,Everything's ready.,Đến đây là xong xuôi hết rồi.,Kat
story.Global.prologue_cutscene_ritual_1.text.e9a37dc0299fbe32789eb529cb417520a49733e8,All that's left is to wait 5 minutes and then burn the hair.,Còn lại là chờ 5 phút rồi đốt nhúm tóc thôi.,Kat
story.Global.prologue_cutscene_ritual_1.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,Kat
story.Global.prologue_cutscene_ritual_1.text.d9209023e7ea00416d4032543816863a4c9630d5,This is going to be such a pain to clean up.,Rồi thu dọn cái đống này chắc cũng mệt gãy xương.,Kat
,,,
story.Global.prologue_cutscene_ritual_1.text.77f093b27a3b2e995135c69d91b6df892af56b15,Seriously? Stop messing with things!,Thiệt luôn!? Mày thôi mò vào mấy chuyện kì lạ giùm đi!,???
story.Global.prologue_cutscene_ritual_1.text.7abf611b05a393449db18eaaf7668d1e3d39ebd6,"But everything I ""mess with"" ends up being a scam.","Nhưng mà mấy chuyện tao ""mò vào"" kết cục đều là xạo mà.",Kat
story.Global.prologue_cutscene_ritual_1.text.1683c0a3cdf4b32ddb41ecdaefde6416c39d352e,What if some day it isn't?,Lỡ ngày nào đó thành thật thì sao?,???
story.Global.prologue_cutscene_ritual_1.text.0faa47340686c7ea5b8842c2e51eb18fda860e01,What if you end up summoning some ghost or the devil and condemning your soul to an eternity in the netherworld?,Lỡ mày gọi ra ma hay ra quỷ rồi linh hồn mày bị rơi vào địa ngục mãi luôn thì sao?,???
story.Global.prologue_cutscene_ritual_1.text.59f3a18db288f85ed0d8fc51b97bf913523fdaac,What if your soul is already damned!?,Lỡ đâu linh hồn mày đã bị nguyền rủa rồi thì sao!?,???
story.Global.prologue_cutscene_ritual_1.text.dea670a65c365df5ab2a0ba82b2a9c9c4243f4be,Then I guess that's what's waiting for me after I die.,Thế thì chắc khi tao chết rồi tao đi xuống đó thôi.,Kat
story.Global.prologue_cutscene_ritual_1.text.883d3b8a0eec6aea03cc2379827e6e510d5e7b28,KAT!,KAT!,???
story.Global.prologue_cutscene_ritual_1.text.c340ab10b73ed4cef65ccbef5eca63c2cd37d2f5,It was a joke!,Tao đùa mà!,Kat
story.Global.prologue_cutscene_ritual_1.text.8e33ef65600bfca2ec27cda6f29f0b160902c765,"You're not gonna find him this way, you know?",Có làm thế này cũng không tìm ra được người đó đâu mày biết không?,???
story.Global.prologue_cutscene_ritual_1.text.379d48c305c7044e33627aab25c95c82a28ff95e,"You'll just do whatever you want no matter what I say, won't you?",Mà giờ tao có bảo gì thì mày cũng cứ làm gì mày muốn làm thôi nhỉ?,???
story.Global.prologue_cutscene_ritual_1.text.742ab30bd3058011598b73e57eb7ee1f371bdbbd,It's possible.,Làm là làm được.,Kat
story.Global.prologue_cutscene_ritual_1.text.ad04058a6b1fe6a6c9b6e8f8b7f5c2197d4e4820,Stubborn idiot.,Cái con khùng ngoan cố.,???
story.Global.prologue_cutscene_ritual_1.text.89534cb67434b171a18c04c55327348cfa482d5b,"I prefer ""ambitious idiot"".","Gọi là ""Con khùng có khát vọng"" thì tao ưng hơn.",Kat
story.Global.prologue_cutscene_ritual_1.text.39269f96fa2dacef17188e1f5dcff8394c5a8c82,So… will you tell me where the letter is?,Thế… mày cho tao biết thư ở đâu được chưa?,Kat
story.Global.prologue_cutscene_ritual_1.text.76aadae4874b4a90af00dfac5ad2f8a0ddf3ca58,"You exhaust me Kat, you know that?",Tao hết hơi với mày rồi đấy Kat mày biết không?,???
story.Global.prologue_cutscene_ritual_1.text.06c89242f9cc19584850e1b9eff4a7b7cc385b2f,And yet here we are.,Thế mà vẫn ấy đây này.,Kat
