,en,vi,char,
story.Prologue_Closet.event_already_unlocked.text.968cf294d2af6de9dd83458665405ede889fc78c,It's already unlocked.,Khóa đã mở rồi.,,x
,,,,x
story.Prologue_Closet.event_check_boxes2.text.3efa3bb2fb6e251672fb13b7a447a4ce98e8fc21,"The box contains various empty notebooks, textbooks and… chalk.",Trong thùng cất đủ thứ từ vở trắng với sách giáo khoa đến… phấn viết.,,x
,,,,x
story.Prologue_Closet.event_check_boxes2.choice.text.5078eaf469aefaa38fdd3029a11241e3cf8168bd,Take chalk?,Lấy phấn viết chứ?,,x
story.Prologue_Closet.event_check_boxes2.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,Lấy,,x
story.Prologue_Closet.event_check_boxes2.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,Thôi,,x
,,,,x
story.Prologue_Closet.event_check_boxes2.text.6c7046d999cb8e218e5f25caedfa2bd2129b01b4,There's nothing else of interest,Chẳng có thứ gì khác đáng lưu tâm.,,x
,,,,x
story.Prologue_Closet.event_read_letter.text.0b77af16b10644f276cd40539ac9a3a9b76f42c5,There's some dusty documents that catch your eye.,Có mấy giấy tờ bụi bặm đập vào tầm mắt.,,x
,,,,x
story.Prologue_Closet.event_read_letter.choice.text.669a9ddb15528f0c9e0a315083c81df92b8ff096,Read them?,Đọc chứ?,,x
story.Prologue_Closet.event_read_letter.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,Đọc,,x
story.Prologue_Closet.event_read_letter.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,Thôi,,x
,,,,x
story.Prologue_Closet.event_read_letter.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,Kat,x
story.Prologue_Closet.event_read_letter.text.56938ff59db914f5e4ccefed542767489539d562,It's a… lawsuit?,Cái này là… hồ sơ kiện tụng à?,Juli,x
story.Prologue_Closet.event_read_letter.text.823c138b3b79933606208b109da4b9a6798e383d,What's that doing in a place like this?,Sao ở đây lại có thứ thế này?,Kat,x
story.Prologue_Closet.event_read_letter.text.ca9a843c89ef06a36ac666841f012279e9d7ef19,I heard about that from my dad.,Tao có nghe được vụ này từ ba tao là..,Kaya,x
