,en,vi,char,,
story.Prologue_Ending_K7_3.item_scissors_on_boxes.text.a602b1cca340c1a3679faf0b6807856055966ac7,It could be dangerous to topple these boxes over.,Làm đổ núi thùng này thì nguy hiểm đấy.,,,
,,,,,
story.Prologue_Ending_K7_3.misc_boxes.text.e2287247ae230c1d7a094f2e87c8c8363f3bfb01,A large pile of boxes that goes all the way to the ceiling.,Đống thùng chất cao lên đến tận trần nhà.,,,
,,,,,
story.Prologue_Ending_K7_3.misc_ending.text.aa3327e13a26c1756909327cd2861e780ce4f825,This room feels different…,Phòng này cảm thấy khang khác…,Kat,,
story.Prologue_Ending_K7_3.misc_ending.text.692c8d99781b78fab38e0b4d51790812d1a5067e,Is it safe…?,An toàn không…?,Kaya,concerned2,
story.Prologue_Ending_K7_3.misc_ending.text.85f4ddd3b3d3c935d2cae46d77aeef11dac15b93,"Ah, there you are.","À, các ngươi đây rồi.",,,
story.Prologue_Ending_K7_3.misc_ending.text.831be1ceb15af1bda090e0f497ddb36de247c848,Who are you…? What is this place?,Mày là ai…? Đây rốt cuộc là đâu?,Kat,annoyed2,
story.Prologue_Ending_K7_3.misc_ending.text.f5d87174cba18bc7975ce1d71c9f0ba86182bcf4,Straight to the point I see.,Quả là không thích vòng vo nhỉ.,,,
story.Prologue_Ending_K7_3.misc_ending.text.bcbcc8d9aa980991960105043be94d68cb30e607,"Well, this isn't quite your world.","Thì, đây không hẳn là thế giới của các ngươi.",,,
story.Prologue_Ending_K7_3.misc_ending.text.52e282098784499e43fc5b2da53eb9e9e509b313,…What?,…Là sao?,Kat,,
story.Prologue_Ending_K7_3.misc_ending.text.3176465438f6d8d39b96a8776867f600ab1f1532,"Let's not get into it. You're doing a ritual, correct?","Khoan bàn sâu chuyện đó đã. Các ngươi đang làm nghi thức, phải không?",,,
story.Prologue_Ending_K7_3.misc_ending.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,Kat,annoyed2,
story.Prologue_Ending_K7_3.misc_ending.text.f57fbd95c5ebc5a3995c440e97e230c7d690c301,"Stop, and go home.","Ngừng lại, rồi đi về nhà đi.",,,
story.Prologue_Ending_K7_3.misc_ending.text.ece4eb1a5ced86da1150e20101e5bd1068f6c4ec,All of you. I mean it.,Toàn bộ các ngươi luôn. Không phải nói chơi đâu.,,,
story.Prologue_Ending_K7_3.misc_ending.text.c35a7144b4f97af8591d264ce48f6a7a9f60ea17,Excuse me…?,Này nhá…?,Kat,annoyed,
story.Prologue_Ending_K7_3.misc_ending.text.43998eb0757e3769f756e957c93150779fe477b5,"Kat, if you keep doing what you're doing, things won't end well.","Kat, nếu cứ mà tiếp tục thế này, kết cục sẽ chẳng tốt đẹp đâu.",,,
story.Prologue_Ending_K7_3.misc_ending.text.61d70e924fe83fe049ccb68f73e2a2dadac246fe,"Do you know this person, Kat?","Nè Kat, mày quen đứa này à?",Juli,,
