,en
story.Prologue_HOD_Death.chr_girl1.text.7b12cd766e686d6204058b1e2556ab7f4cfda13c,A beheaded corpse.
story.Prologue_HOD_Death.chr_girl1.text.2b2005e1170ca7ee29a58b0f26190b6e80d213a2,Saki's beheaded corpse lies here.
story.Prologue_HOD_Death.chr_girl1.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...
story.Prologue_HOD_Death.chr_girl1.text.cf2538a972ec8cdd20feeb221b9faf06dbe897e8,That can't be...
story.Prologue_HOD_Death.chr_girl1.text.2494e96cd66323400e7154384c7f185dc839ebd1,How is this possible?
story.Prologue_HOD_Death.chr_girl1.text.51b443f9aa4b98a0a3cc13dd725654bb71b2bb68,I just saw her a while ago...
story.Prologue_HOD_Death.chr_girl1.text.8543cde793292c8ef21bcf42445c1d969cc8b63f,I-I don't understand...
story.Prologue_HOD_Death.chr_girl2.text.ff43f8ad1f0b89ae57e7b9c65ee820fe70387890,A bloody corpse. The lower half is missing.
story.Prologue_HOD_Death.chr_girl2.text.c3dc8cde6875a5f1de674d11ebcf8d2ca55332da,Juli's bloody corpse. Her lower half is missing.
story.Prologue_HOD_Death.chr_girl2.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...
story.Prologue_HOD_Death.chr_girl2.text.d9b4acee22da38fa21bb21caecfbe7ad1b10256c,I...
story.Prologue_HOD_Death.chr_girl2.text.e407a3553805eb7091ca8c0e22526b36c11935e5,This is my fault...
story.Prologue_HOD_Death.chr_girl3.text.78fe52d2f4822f0d7577d38ac8f92f897a8a7d54,A bloody corpse.
story.Prologue_HOD_Death.chr_girl3.text.e305831456d0a96d7eef69c87b60444c00b5b08b,Kaya's bloody corpse.
story.Prologue_HOD_Death.chr_girl3.text.a92cb30a9d9abc19367a190caefb267e3aacb357,Oh no no no no no...
story.Prologue_HOD_Death.chr_girl3.text.fccdd8568432b8d4516abe8455f5587e3b66502b,Oh my god.
story.Prologue_HOD_Death.chr_girl3.text.7d5016a83abb615f63ade02a3c1b7d1496adabe5,This can't be real... It's not real...
story.Prologue_HOD_Death.chr_girl3.text.638e3ab555c59efb3517cd846a6fd6ab1b1af3fc,Right...?
story.Prologue_HOD_Death.event_ending.text.63da02f79c326f095db468f4483bf1f91c5bacb7,...The door...
story.Prologue_HOD_Death.event_ending.text.292df5c7fb20cbce8e367dcb434af59c7891e36b,I can... leave...?
story.Prologue_HOD_Death.event_ending.text.2be0bbde30a97a3422fda9e8056e8142cc835147,I can... go home...?
story.Prologue_HOD_Death.event_ending.text.329690f61f5870b314e322ba8d5d5ea81bbe0dfc,I don't want to die...
story.Prologue_HOD_Death.event_ending.text.2a130670091d09bfd06b560fb9d359a3a0080380,Why not? Everybody should try it at least once.
story.Prologue_HOD_Death.item_lighter.text.fbc63d4038f63fa3ebd90e2fc2d7e5553c80631f,Right.
story.Prologue_HOD_Death.item_lighter.text.b2ff11981d85412fb68836fcb65fa169c7153073,...It doesn't light up...
story.Prologue_HOD_Death.item_lighter.text.995e5b8cdbdb5b387780f73113dd8348973a0dff,It's as if this place isn't dark... it's just black...
story.Prologue_HOD_Death.item_lighter.text.89d9d055ba487282ed7efebefae2f3dc6fda5673,That's not going to help.
story.Prologue_HOD_Death.item_no_keyhole.text.ff97d40009634d766020f3d0c2a3df5ec4a5943c,"Unfortunately, the door has no keyhole."
story.Prologue_HOD_Death.misc_blood.text.e7a8acade2914201dc96902f0319fd379c405806,Blood.
story.Prologue_HOD_Death.misc_blood_2.text.548190ac88e52e93e2e8bebbc430890b28626d39,Blood puddles.
story.Prologue_HOD_Death.misc_blood_2.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...
story.Prologue_HOD_Death.misc_return.text.f306e8d8885993e357c509b51d671a24a1ca50de,There's no door here.
story.Prologue_HOD_Death.misc_return.text.16760cacf133285c1a6c5532f08ebc7b671c268d,I cant... go back...
story.Prologue_HOD_Death.move_exit.text.1fca303c3a0350a814fa92a14aafbaa907b01569,A welcoming door.
story.Prologue_HOD_Death.move_exit.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.
story.Prologue_HOD_Death.move_exit.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...
story.Prologue_HOD_Death.move_exit.text.c93e2c3b8f7f2fe700bc45e5804d37e4b65a6ef2,I... have to...
story.Prologue_HOD_Death.move_exit.text.5365078865ebc656316464f1c545e1a59b2b8268,...get out...
