,en,vi,char,
story.Prologue_Hallway.event_closet_door_locked_forever.text.db2f9877d0f6f90134d8355730c91e84e4f0c528,"The keyhole has vanished, making it impossible to pick.","Cái lỗ khóa biến mất rồi, không thể cạy được.",,
story.Prologue_Hallway.event_closet_door_locked_forever.text.2aea4d8500673644a5867607bc4fc22d7ab3d699,What… the hell? Are you guys seeing what I'm seeing?,...Gì vậy trời? Tao không có bị nhìn nhầm đấy chứ?,Kat,
story.Prologue_Hallway.event_closet_door_locked_forever.text.f689591d19bc83db04d80b8be36a30be62a7e51b,Maybe it's a sign…,Có khi là dấu hiệu gì đó…,Kaya,concerned2
story.Prologue_Hallway.event_closet_door_locked_forever.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,Kat,annoyed2
,,,,
story.Prologue_Hallway.event_exit.text.d9ff225b339ce0c71158adad95dcaf862ec42734,This leads downstairs and outside of the school.,Đường này dẫn xuống tầng dưới và ra ngoài trường.,,
story.Prologue_Hallway.event_exit.text.30da629656cc7cd2d0fd9c76a165b781d444434b,I should be able to find everything I need on this floor.,Những cái mình cần thì ở tầng này hẳn là tìm được hết thôi.,,
story.Prologue_Hallway.event_exit.text.5b9cf0772c9f5c57587509bdceac0c4814974f06,No need to go downstairs.,Không cần đi xuống dưới đâu.,,
,,,,
story.Prologue_Hallway.event_exit.choice.text.218340ff245ad56e76aa4b163d9f84ced20e3694,Give up and go home?,Từ bỏ và đi về nhà chứ?,,
story.Prologue_Hallway.event_exit.choice.0ecdb1487f73a79a39bd0dbcf37b64fa6920c993,"Yes, this is scary","Sợ lắm, đi về thôi",,
story.Prologue_Hallway.event_exit.choice.ebb19f20d41e0103e3e11e0d6f9d0b6f30b736eb,"No, let's finish this","Không về, làm cho xong nghi thức",,
,,,,
story.Prologue_Hallway.event_exit.text.b36d367c606e5d74547c9070d7bf6f93c04716f1,What are you doing? Are we done already?,Ủa sao thế? Hết rồi à?,Juli,observant
,,,,
story.Prologue_Hallway.event_exit.choice.text.e2f033826024b1c973e85c59f0a88480c9bf6ecd,Are we going home?,Về nhà chứ?,,
story.Prologue_Hallway.event_exit.choice.a849a86ea8744e427b4d033af84f646695dd92df,"Yeah, let's go","Ừ, về thôi",,
story.Prologue_Hallway.event_exit.choice.bcac1df79ec80fa8aa38e3d2a45cf9aebd19a26d,"No, we're not done","Không, chưa xong đâu",,
,,,,
