,en,vi
story.Prologue_Nightmare_Office.item_no_keyhole.text.fac0f1cc9962b9686fcece47e7d84a7eeb7b102d,There's no keyhole on the door.,Cánh cửa này không có lỗ khóa.
,,
story.Prologue_Nightmare_Office.misc_books_1.text.68651f7e26f4b36b4a74a7bc16e26fe9f0c45ccd,A pile of science books.,Núi sách khoa học.
,,
story.Prologue_Nightmare_Office.misc_books_2.text.70a8bb54f8a9ee437937fc3fd936eec507c463a8,A pile of science books. Many pages are bookmarked.,Núi sách khoa học. Nhiều trang được đặt dấu trang.
,,
story.Prologue_Nightmare_Office.misc_books_3.text.fb0933a174d59ab9995700d1e955f4073febb415,Books on out-of-body experiences.,Mấy cuốn sách bàn về trải nghiệm thoát xác.
,,
story.Prologue_Nightmare_Office.misc_books_4.text.a9aecc481647678a86062bd8f44587f72f9752e7,"A pile of books. The top one is called ""Depictions of psychological trauma in research patients.""","Núi sách. Cuốn trên cùng có nhan đề ""Miêu tả về sang chấn tâm lý của đối tượng thí nghiệm""."
,,
story.Prologue_Nightmare_Office.misc_books_5.text.c0fa2f096e620711ae6eb171533005934011ab65,A pile of anatomy textbooks.,Núi sách giáo khoa về giải phẫu học.
,,
story.Prologue_Nightmare_Office.misc_bookshelf.text.b939d6012185de6121f75afa63b70e2e94e68f75,The bookshelf towers over your small figure.,Giá sách cao chót vót hơn thân hình nhỏ bé của bạn.
,,
story.Prologue_Nightmare_Office.misc_bookshelf_2.text.d24911705bad90c5731ab2a406951e9b95803464,The bookshelf has always felt too large for comfort.,Giá sách này thì cảm thấy luôn quá lớn không thư thái nổi.
,,
story.Prologue_Nightmare_Office.misc_bookshelf_3.text.ee52daf3484d760e1379bac869f60eb53057007c,The bookshelf is filled with hard to read books.,Giá sách này thì chứa đầy sách mà đọc rất khó hiểu.
,,
story.Prologue_Nightmare_Office.misc_bookshelf_4.text.be1f2c5097ae047d23dc3e7caec8faae44fa8819,The bookshelf has books with titles you can't even pronounce.,Giá sách này có hàng sách với những nhan đề bạn còn chả biết đường phát âm.
,,
story.Prologue_Nightmare_Office.misc_couch.text.f5087f43fe7f0359a5436096be0f11538570f9bb,What the hell.,Cái quái gì đấy.
,,
story.Prologue_Nightmare_Office.misc_couch.text.b8df2825c3e6d2dfb2012aa8e1d32a5f299fe735,Was that…?,Đó là...?
,,
story.Prologue_Nightmare_Office.misc_couch.text.2d31720cfbddfa6c419d3ed4f46c4ed1081d4af2,No. It wasn't.,"Không, không phải."
,,
story.Prologue_Nightmare_Office.misc_couch.text.b1f178fff38e138d4df0b0033ea6eab05e7ba137,It's just an empty couch.,Chỉ là chiếc đi-văng không ai ngồi cả.
,,
